gene_name	gene_id
Tab3	ENSMUSG00000035476
Pdk3	ENSMUSG00000035232
Amer1	ENSMUSG00000050332
Las1l	ENSMUSG00000057421
Msn	ENSMUSG00000031207
Dlg3	ENSMUSG00000000881
Snx12	ENSMUSG00000046032
Med12	ENSMUSG00000079487
Taf1	ENSMUSG00000031314
Rps4x	ENSMUSG00000031320
Cited1	ENSMUSG00000051159
Slc16a2	ENSMUSG00000033965
Rlim	ENSMUSG00000056537
Zdhhc15	ENSMUSG00000033906
Fndc3c1	ENSMUSG00000033737
Cstf2	ENSMUSG00000031256
Rpl36a	ENSMUSG00000079435
Armcx4	ENSMUSG00000049804
Fam199x	ENSMUSG00000042595
Nup62cl	ENSMUSG00000072944
Acsl4	ENSMUSG00000031278
Ammecr1	ENSMUSG00000042225
Amot	ENSMUSG00000041688
Tsr2	ENSMUSG00000025264
Phf8	ENSMUSG00000041229
Tspyl2	ENSMUSG00000041096
Shroom2	ENSMUSG00000045180
Mageh1	ENSMUSG00000047238
Rragb	ENSMUSG00000041658
Ubqln2	ENSMUSG00000050148
Mbtps2	ENSMUSG00000046873
Eif1ax	ENSMUSG00000067194
Pdha1	ENSMUSG00000031299
Nhs	ENSMUSG00000059493
Rbbp7	ENSMUSG00000031353
Txlng	ENSMUSG00000038344
Ap1s2	ENSMUSG00000031367
Zrsr2	ENSMUSG00000031370
Siah1b	ENSMUSG00000040749
Piga	ENSMUSG00000031381
Gemin8	ENSMUSG00000040621
Ofd1	ENSMUSG00000040586
Trappc2	ENSMUSG00000079317
Prps2	ENSMUSG00000025742
Msl3	ENSMUSG00000031358
Hccs	ENSMUSG00000031352
Zfp263	ENSMUSG00000022529
Naa60	ENSMUSG00000005982
Cluap1	ENSMUSG00000014232
Slx4	ENSMUSG00000039738
Trap1	ENSMUSG00000005981
Crebbp	ENSMUSG00000022521
Tfap4	ENSMUSG00000005718
Pam16	ENSMUSG00000014301
Coro7	ENSMUSG00000039637
Dnaja3	ENSMUSG00000004069
Nmral1	ENSMUSG00000063445
Hmox2	ENSMUSG00000004070
Cdip1	ENSMUSG00000004071
Nudt16l1	ENSMUSG00000022516
Anks3	ENSMUSG00000022515
Rogdi	ENSMUSG00000022540
Glyr1	ENSMUSG00000022536
Ubn1	ENSMUSG00000039473
Nagpa	ENSMUSG00000023143
Alg1	ENSMUSG00000039427
Mettl22	ENSMUSG00000039345
Pmm2	ENSMUSG00000022711
Carhsp1	ENSMUSG00000008393
Atf7ip2	ENSMUSG00000039200
Nubp1	ENSMUSG00000022503
Clec16a	ENSMUSG00000068663
Rmi2	ENSMUSG00000037991
Litaf	ENSMUSG00000022500
Snn	ENSMUSG00000037972
Txndc11	ENSMUSG00000022498
Zc3h7a	ENSMUSG00000037965
Rsl1d1	ENSMUSG00000005846
Gspt1	ENSMUSG00000062203
Ercc4	ENSMUSG00000022545
Parn	ENSMUSG00000022685
Bfar	ENSMUSG00000022684
Rrn3	ENSMUSG00000022682
Ntan1	ENSMUSG00000022681
Pdxdc1	ENSMUSG00000022680
Mpv17l	ENSMUSG00000022679
Marf1	ENSMUSG00000060657
Nde1	ENSMUSG00000022678
Fopnl	ENSMUSG00000022677
Abcc1	ENSMUSG00000023088
Ube2v2	ENSMUSG00000022674
Mcm4	ENSMUSG00000022673
Prkdc	ENSMUSG00000022672
Mzt2	ENSMUSG00000022671
Spidr	ENSMUSG00000041974
Pkp2	ENSMUSG00000041957
Yars2	ENSMUSG00000022792
Dnm1l	ENSMUSG00000022789
Mapk1	ENSMUSG00000063358
Ppil2	ENSMUSG00000022771
Sdf2l1	ENSMUSG00000022769
Hic2	ENSMUSG00000050240
Pi4ka	ENSMUSG00000041720
Snap29	ENSMUSG00000022765
Crkl	ENSMUSG00000006134
Lztr1	ENSMUSG00000022761
Thap7	ENSMUSG00000022760
Smpd4	ENSMUSG00000005899
Med15	ENSMUSG00000012114
Klhl22	ENSMUSG00000022750
Dgcr2	ENSMUSG00000003166
Slc25a1	ENSMUSG00000003528
Dgcr6	ENSMUSG00000003531
Ranbp1	ENSMUSG00000005732
Trmt2a	ENSMUSG00000022721
Dgcr8	ENSMUSG00000022718
Arvcf	ENSMUSG00000000325
Comt	ENSMUSG00000000326
Txnrd2	ENSMUSG00000075704
Gnb1l	ENSMUSG00000000884
Mrpl40	ENSMUSG00000022706
Hira	ENSMUSG00000022702
Klhl24	ENSMUSG00000062901
Yeats2	ENSMUSG00000041215
Parl	ENSMUSG00000033918
Abcc5	ENSMUSG00000022822
Eif2b5	ENSMUSG00000003235
Dvl3	ENSMUSG00000003233
Ap2m1	ENSMUSG00000022841
Abcf3	ENSMUSG00000003234
Ece2	ENSMUSG00000022842
Psmd2	ENSMUSG00000006998
Clcn2	ENSMUSG00000022843
Polr2h	ENSMUSG00000021018
Tmem41a	ENSMUSG00000022856
Senp2	ENSMUSG00000022855
Igf2bp2	ENSMUSG00000033581
Etv5	ENSMUSG00000013089
Tbccd1	ENSMUSG00000004462
Dnajb11	ENSMUSG00000004460
Rfc4	ENSMUSG00000022881
Ccdc50	ENSMUSG00000038127
Opa1	ENSMUSG00000038084
Hes1	ENSMUSG00000022528
Atp13a3	ENSMUSG00000022533
Lsg1	ENSMUSG00000022538
Xxylt1	ENSMUSG00000047434
Acap2	ENSMUSG00000049076
Dlg1	ENSMUSG00000022770
Ncbp2	ENSMUSG00000022774
Pak2	ENSMUSG00000022781
Pigx	ENSMUSG00000023791
Cep19	ENSMUSG00000035790
Fbxo45	ENSMUSG00000035764
Wdr53	ENSMUSG00000022787
Rnf168	ENSMUSG00000014074
Ubxn7	ENSMUSG00000053774
Tctex1d2	ENSMUSG00000014075
Pcyt1a	ENSMUSG00000005615
Tfrc	ENSMUSG00000022797
Fyttd1	ENSMUSG00000022800
Lrch3	ENSMUSG00000022801
Rpl35a	ENSMUSG00000060636
Osbpl11	ENSMUSG00000022807
Snx4	ENSMUSG00000022808
Zfp148	ENSMUSG00000022811
Itgb5	ENSMUSG00000022817
Umps	ENSMUSG00000022814
Ccdc14	ENSMUSG00000022833
Sec22a	ENSMUSG00000034473
Pdia5	ENSMUSG00000022844
Hspbap1	ENSMUSG00000022849
Dtx3l	ENSMUSG00000049502
Fam162a	ENSMUSG00000003955
Ccdc58	ENSMUSG00000075229
Iqcb1	ENSMUSG00000022837
Golgb1	ENSMUSG00000034243
Polq	ENSMUSG00000034206
Gtf2e1	ENSMUSG00000022828
Rabl3	ENSMUSG00000022827
Ndufb4	ENSMUSG00000022820
Fstl1	ENSMUSG00000022816
Lrrc58	ENSMUSG00000034158
Gsk3b	ENSMUSG00000022812
Adprh	ENSMUSG00000002844
Timmdc1	ENSMUSG00000002846
Poglut1	ENSMUSG00000034064
Atp6v1a	ENSMUSG00000052459
Naa50	ENSMUSG00000022698
Gtpbp8	ENSMUSG00000022668
Slc35a5	ENSMUSG00000022664
Atg3	ENSMUSG00000022663
Abhd10	ENSMUSG00000033157
Dzip3	ENSMUSG00000064061
Ift57	ENSMUSG00000032965
Cd47	ENSMUSG00000055447
Bbx	ENSMUSG00000022641
Cblb	ENSMUSG00000022637
Rpl24	ENSMUSG00000098274
Zbtb11	ENSMUSG00000022601
Pcnp	ENSMUSG00000071533
Trmt10c	ENSMUSG00000044763
Tfg	ENSMUSG00000022757
Tomm70a	ENSMUSG00000022752
Nit2	ENSMUSG00000022751
Tbc1d23	ENSMUSG00000022749
Cmss1	ENSMUSG00000022748
Dcbld2	ENSMUSG00000035107
Cpox	ENSMUSG00000022742
Arl6	ENSMUSG00000022722
Arl13b	ENSMUSG00000022911
Cggbp1	ENSMUSG00000054604
Chmp2b	ENSMUSG00000004843
Robo1	ENSMUSG00000022883
Hspa13	ENSMUSG00000032932
Usp25	ENSMUSG00000022867
Cxadr	ENSMUSG00000022865
Btg3	ENSMUSG00000022863
Atp5j	ENSMUSG00000022890
Gabpa	ENSMUSG00000008976
App	ENSMUSG00000022892
N6amt1	ENSMUSG00000044442
Ltn1	ENSMUSG00000052299
Usp16	ENSMUSG00000025616
Cct8	ENSMUSG00000025613
Bach1	ENSMUSG00000025612
Sod1	ENSMUSG00000022982
Scaf4	ENSMUSG00000022983
Hunk	ENSMUSG00000053414
Mis18a	ENSMUSG00000022978
Urb1	ENSMUSG00000039929
Paxbp1	ENSMUSG00000022974
Ifnar1	ENSMUSG00000022967
Tmem50b	ENSMUSG00000022964
Gart	ENSMUSG00000022962
Son	ENSMUSG00000022961
Donson	ENSMUSG00000022960
Atp5o	ENSMUSG00000022956
Itsn1	ENSMUSG00000022957
Mrps6	ENSMUSG00000039680
Slc5a3	ENSMUSG00000089774
Rcan1	ENSMUSG00000022951
Setd4	ENSMUSG00000022948
Cbr1	ENSMUSG00000051483
Morc3	ENSMUSG00000039456
Chaf1b	ENSMUSG00000022945
Hlcs	ENSMUSG00000040820
Pigp	ENSMUSG00000022940
Ttc3	ENSMUSG00000040785
Dyrk1a	ENSMUSG00000022897
Ets2	ENSMUSG00000022895
Psmg1	ENSMUSG00000022913
Brwd1	ENSMUSG00000022914
Hmgn1	ENSMUSG00000040681
Wrb	ENSMUSG00000023147
Ripk4	ENSMUSG00000005251
Prdm15	ENSMUSG00000014039
Zbtb21	ENSMUSG00000046962
Ndufa3	ENSMUSG00000035674
Tfpt	ENSMUSG00000006335
Prpf31	ENSMUSG00000008373
Leng1	ENSMUSG00000078813
Mboat7	ENSMUSG00000035596
Tsen34	ENSMUSG00000035585
Leng8	ENSMUSG00000035545
Rdh13	ENSMUSG00000008435
Ppp1r12c	ENSMUSG00000019254
Ppp6r1	ENSMUSG00000052296
Cox6b2	ENSMUSG00000051811
Tmem238	ENSMUSG00000030431
Rpl28	ENSMUSG00000030432
Ube2s	ENSMUSG00000060860
Fiz1	ENSMUSG00000061374
Epn1	ENSMUSG00000035203
Zfp787	ENSMUSG00000046792
Peg3	ENSMUSG00000002265
Usp29	ENSMUSG00000051527
Zfp606	ENSMUSG00000030386
Zfp329	ENSMUSG00000057894
Zfp110	ENSMUSG00000058638
Zscan22	ENSMUSG00000054715
Rps5	ENSMUSG00000012848
Zfp446	ENSMUSG00000033961
Zbtb45	ENSMUSG00000049600
Chmp2a	ENSMUSG00000033916
Ube2m	ENSMUSG00000005575
Lig1	ENSMUSG00000056394
Kptn	ENSMUSG00000006021
Meis3	ENSMUSG00000041420
Dhx34	ENSMUSG00000006019
Sae1	ENSMUSG00000052833
Zc3h4	ENSMUSG00000059273
Tmem160	ENSMUSG00000019158
Arhgap35	ENSMUSG00000058230
Ap2s1	ENSMUSG00000008036
Slc1a5	ENSMUSG00000001918
Fkrp	ENSMUSG00000048920
Calm3	ENSMUSG00000019370
Ppp5c	ENSMUSG00000003099
Sympk	ENSMUSG00000023118
Dmwd	ENSMUSG00000030410
Fbxo46	ENSMUSG00000050428
Eml2	ENSMUSG00000040811
Opa3	ENSMUSG00000052214
Vasp	ENSMUSG00000030403
Ercc1	ENSMUSG00000003549
Ercc2	ENSMUSG00000030400
Gemin7	ENSMUSG00000044709
Clasrp	ENSMUSG00000061028
Clptm1	ENSMUSG00000002981
Apoe	ENSMUSG00000002985
Tomm40	ENSMUSG00000002984
Bcam	ENSMUSG00000002980
Pvr	ENSMUSG00000040511
Zfp180	ENSMUSG00000057101
Zfp428	ENSMUSG00000064264
Xrcc1	ENSMUSG00000051768
Ethe1	ENSMUSG00000064254
Rps19	ENSMUSG00000040952
Arhgef1	ENSMUSG00000040940
Rabac1	ENSMUSG00000003380
Dedd2	ENSMUSG00000054499
Gsk3a	ENSMUSG00000057177
Cic	ENSMUSG00000005442
Megf8	ENSMUSG00000045039
Bckdha	ENSMUSG00000060376
Exosc5	ENSMUSG00000061286
B9d2	ENSMUSG00000063439
Hnrnpul1	ENSMUSG00000040725
Egln2	ENSMUSG00000058709
Snrpa	ENSMUSG00000061479
Blvrb	ENSMUSG00000040466
Sertad3	ENSMUSG00000055200
Pld3	ENSMUSG00000003363
Zfp60	ENSMUSG00000037640
Zfp780b	ENSMUSG00000063047
Psmc4	ENSMUSG00000030603
Fbl	ENSMUSG00000046865
Dll3	ENSMUSG00000003436
Timm50	ENSMUSG00000003438
Supt5	ENSMUSG00000003435
Rps16	ENSMUSG00000037563
Plekhg2	ENSMUSG00000037552
Paf1	ENSMUSG00000003437
Pak4	ENSMUSG00000030602
Sirt2	ENSMUSG00000015149
Actn4	ENSMUSG00000054808
Eif3k	ENSMUSG00000053565
Spred3	ENSMUSG00000037239
Psmd8	ENSMUSG00000030591
Yif1b	ENSMUSG00000030588
Spint2	ENSMUSG00000074227
Ppp1r14a	ENSMUSG00000037166
Dpf1	ENSMUSG00000030584
Sipa1l3	ENSMUSG00000030583
Zfp84	ENSMUSG00000046185
Zfp74	ENSMUSG00000059975
Zfp568	ENSMUSG00000074221
Zfp566	ENSMUSG00000078768
Zfp146	ENSMUSG00000037029
Cox7a1	ENSMUSG00000074218
Tbcb	ENSMUSG00000006095
Polr2i	ENSMUSG00000019738
Wdr62	ENSMUSG00000037020
Clip3	ENSMUSG00000013921
Syne4	ENSMUSG00000019737
